$,dollar ドル記号
plunk,ぽんと置く
plunk,ポロンと鳴る
plunk,ポロンと鳴らすこと
plunk,ポロンと鳴る音
plunk,ごつんとなぐること
plunk,ポロンと
plunk,どすんと
plural,複数の
plural,複数の
plural,複数
plural,複数形
pluralism,聖職兼任
pluralism,多元的共存
pluralism,多元論
plurality,複数
plurality,複数性
plurality,多数
plurality,最高得票数
plurality,1位と2位の得票数の差
plush,フラシ天
plush,豪華な
plush,ぜいたくな
plushy,フラシ天のような
plushy,豪華な
plushy,ぜいたくな
Plutarch,プルターク
plutocracy,金権政治
plutocracy,富豪階級
plutocracy,財閥
plutocrat,金権のある人
plutocratic,金権政治の
plutonium,プルトニウム
pluvial,雨の
pluvial,雨の多い
pluvial,雨水作用による
ply,定期的に通う
ply,〈船
ply,自動車などが〉定期的に往復する
Plymouth,プリマス 英国南西岸の港市
Plymouth,軍港
Plymouth,1620年メイフラワー号の出航地
Plymouth,1620年メイフラワー号に乗った英国の清教徒が初めて上陸した米国東岸の港
plywood,合板
Pm,promethiumの化学記号
pm.,premium
PM,paymaster
PM,Police Magistrate
PM,Postmaster
PM,postmortem
PM,Prime Minister
PM,Provost Marshal
P.M.,paymaster
P.M.,Police Magistrate
P.M.,Postmaster
P.M.,postmortem
P.M.,Prime Minister
P.M.,Provost Marshal
pmk.,postmark
pmt.,payment
pneumatic,空気の
pneumatic,気体の
pneumatic,圧縮空気の詰まった
pneumatic,圧縮空気で動く
pneumatic,空気作用の
pneumatically,圧縮空気を含んで
pneumatically,圧縮空気の作用で
pneumatics,気学
pneumatics,気体力学
pneumoconiosis,肺塵症
pneumonia,肺炎
Po,poloniumの化学記号
poach,熱湯に落として煮る
poacher,密猟者
poacher,侵入者
POC,port of call寄港地
pock,あばた
pocketbook,ハンドバッグ
pocketbook,紙入れ
pocketbook,幌入れ
pocketbook,資力
pocketbook,財力
pocketbook,小型本
pocketbook,文庫本
pocketful,たくさん
pocketknife,折りたたみ式小型ナイフ
pockmarked,あばたのある
poco,やや少し
poco-a-poco,徐々に
poco-a-poco,少しずつ
pod,さや
pod,パッド
pod,さやになる
pod,さやを生ずる
pod,さやをむく
POD,port of debarkation陸揚げ港
POD,pay on delivery代金払換払い
podiatry,足病学
podium,指揮台
podium,演壇
Poe,ポー
POE,port of embarkation船積港
poem,詩
poem,詩的な美しさを持つもの
poet,詩人
poet,歌人
poet,詩的才能のある人
poetaster,へぼ詩人
poetaster,三文詩人
poetess,女流詩人
poetic,詩の
poetic,詩的な
poetic,詩人の
poetic,詩人のふさわしい
poetics,詩学
poetics,詩論
poetry,詩
poetry,韻文
poetry,詩集
poetry,詩歌
poetry,詩的なもの
poetry,詩情
pogrom,大虐殺
pogrom,ユダヤ人大虐殺
poignancy,鋭さ
poignancy,しんらつさ
poignant,心を筋さぶられる
poignant,通ましい
poignant,感動させる
poignant,刺すように鋭い
poignant,しんらつな
poilu,フランス兵
poinciana,ホクオウボク
poinsettia,ポインセチア
point,とがった先
point,先端
point,岬
point,点
point,点
point,地点
point,場所
point,点
point,度
point,時点
point,瞬間
point,要点
point,核心
point,目的
point,意義
point,ねらっている点
point,個々の項目
point,細目
point,細部
point,特徴
point,特質
point,得点
point,ポイント
point,〈銃
point,指など〉指し示す
point,示す
point,指し示す
point,獲物の位置を示す
pointblank,至近距離からの
pointblank,直射の
pointblank,至近距離の
pointblank,あけすけな
pointblank,至近距離から
pointblank,直射で
pointblank,あけすけに
pointed,先のとがった
pointed,鋭い
pointed,痛烈な
pointed,しんらつな
pointed,向けられた
pointed,向けられた
pointed,当てこすりの
pointedly,鋭く
pointedly,しんらつに
pointedly,目立って
pointer,指す人
pointer,針
pointer,むち
pointer,ポインター
pointer,助言
pointer,忠告
pointillism,点描画法
pointless,先のとがっていない
pointless,要領を得ない
pointless,意味のない
pointless,無益な
pointless,当てのない
poison,毒毒薬
poison,害になるもの
poison,害毒
poison,酒
poison,〈人
poison,動物など〉だめにする
poison,害する
poisoner,毒殺者
poisoner,害毒を与える人
poisonous,有毒な
poisonous,毒を含む
poisonous,有害な
poisonous,人を害する
poisonous,悪意のある
poisonous,意地の悪い
poisonous,不快な
poisonous,いやな
poke,袋
poke,麻袋
poke,前の縁がひさしのように突き出た婦人帽
poker,火かき棒
poker,突く人
poker,ポーカー
pokey,監獄
pokey,刑務所
pokey,のろい
pokey,ぐずぐずしている
pokey,狭苦しい
poky,のろい
poky,ぐずぐずしている
poky,狭苦しい
pokiness,のろま
pokiness,ぐず
pokiness,狭苦しいこと
pol,政治家
pol.,political
pol.,politics
Pol.,Poland
Pol.,Polish
Polack,ポーランド系の人
Poland,ポーランド
polar,極地の
polar,南極の
polar,正反対の
Polaris,北極星
Polaris,ポラリス
polarity,両極性
polarity,陽極性
polarity,両極端
polarity,正反対
polarization,分裂
polarization,対立
polarization,分裂状態
polarization,偏光
polarization,分極
polarisation,分裂
polarisation,対立
polarisation,分裂状態
polarisation,偏光
polarisation,分極
Polaroid,ポラロイドカメラ
Polaroid,人造偏光板
polder,干拓地
polder,低地帯
pole,極
pole,電極
pole,磁極
pole,極
pole,相反対
Pole,ポーランド人
pole-vault,棒高跳びをする
pole-vaulter,棒高跳びの選手
polecat,ケナガイタチ
polecat,スカンク
polemic,論争の
polemic,議論の
polemic,論争好きな
polemic,論争
polemic,議論
polemic,論争術
policeman,警官
policeman,巡査
policewoman,婦人警官
policy,方針
policy,方策
policy,政策
policy,処世上の知恵
policy,抜け目のなさ
policy,思慮分別
policy,保険証券
policyholder,保険契約者
polio,小児麻痺
polio,ポリオ
poliomyelitis,小児麻痺
Polish,ポーランドの
Polish,ポーランド人の
Polish,ポーランド語の
Polish,ポーランド語
polished,磨かれた
polished,先練された
polished,上品な
polisher,みがき職人
polisher,つや出し器具
polisher,光沢剤
polit.,political
polit.,politics
Politburo,ソビエト共産党中央委員会政治局
Politbureau,ソビエト共産党中央委員会政治局
polite,礼儀正しい
polite,ていねいな
polite,先練された
polite,教養のある
polite,上品な:
politic,賢明な
politic,策をろうする
political,国家の
political,政府の
political,政治の
political,政治上の:
political,国家に有害な
political,政治好きの
political,政治活動する
political,政略的な
politician,政治家
politician,政略家
politician,政治屋
politick,政治運動をする
politicking,政治活動に参加すること
politico,政治家
politico,政治屋
politics,政治
politics,政治学
politics,《単数
politics,複数扱い》政治活動
politics,政治問題
politics,《単数
politics,複数扱い》政治的手段
politics,政略
politics,術策
politics,政治的信条
polity,政治形態
polity,政体
polity,国民
polka,ポルカ
poll,投票
poll,投票数
poll,投票所
poll,選挙人名簿
poll,世論調査
poll,頭
poll,角を切る
poll,投票する
pollack,タラの一種
pollard,先端を切り込んだ木
pollard,角のないやぎ
pollard,角を切る
pollen,花粉
pollinate,に授粉する
pollination,授粉
pollster,世論調査屋
pollutant,汚染物質
pollute,〈水
pollute,空気
pollute,土など〉冒瀆する
pollution,汚すこと
pollution,汚染すること
pollution,汚されていること
pollution,汚染物質
Pollyanna,底抜けの楽天家
Pollyanna,非常な楽天家
polonaise,ポロネーズ
polonaise,18世紀末の婦人用ドレス
polonium,ポロニウム
polony,ソーセージ用に半加工した豚肉
poltergeist,いたらずら好きの妖精
poltroon,腰ぬけ
poltroon,おく病者
poltroon,ひきょう者
polyandrist,一妻多夫者
polyandrous,一妻多夫の
polyandrous,多雄ずい性の
polyandry,一妻多夫
polyandry,多雄ずい性
polyclinic,総合病院診療所
polyester,ポリエステル
polyethylene,ポリエチレン
polygamist,一夫多妻者
polygamist,一妻多夫者
polygamous,一夫多妻の
polygamous,一妻多夫の
polygamous,雑性花の
polygamy,一夫多妻
polygamy,一妻多夫
polygamy,多婚性
polyglot,数か国語ができる
polyglot,数か国語で書かれた
polyglot,数か国語ができる人
polyglot,数か国語で書かれた書物
polyglot,聖書
polygon,多角形
polygraph,多元記録器
polygraph,ポリグラフ(脈拍
polygraph,血圧
polygraph,呼吸などの同時記録装置
polygraph,うそ発見器
polygynist,一夫多妻者
polygynous,一夫多妻の
polygynous,多雌ずいの
polygyny,一夫多妻
polygyny,多雌ずい性
polyhedron,多面体
polymath,博識家
polymath,物知り
polymer,重合体
polymorphous,多形の
polymorphous,多様な
Polynesia,ポリネシア
Polynesian,ポリネシアの
Polynesian,ポリネシア人の
Polynesian,ポリネシア人
Polynesian,ポリネシア語
polyp,ポリプ
polyp,ポリープ
polyphonic,対位法の
polyphonic,多声的な
polyphony,対位法
polyphony,多声音楽
polystyrene,ポリスチレン
polystyrene,スチロール樹脂
polysyllabic,多音節の
polysyllabic,多音節語を特徴とする
polysyllable,多音節語
polytechnic,諸工芸の
polytechnic,工芸教育の
polytechnic,工芸学校
polytheism,多神教
polytheism,多神論
polytheism,反対語の「一神教」は「monotheism」
polytheistic,多神論の
polytheistic,多神教の
polyurethane,ポリウレタン
polyvinyl,ポリ［重合］ビニールの
polyvinyl,ポリビニールの
polyvinylchloride,ポリ塩化ビニル
pomade,ポマード
pomade,ポマードをつける
pomander,におい玉入れ
pomegranate,ザクロ
pomegranate,ザクロの木
Pomeranian,ポメラニア犬
pomp,壮観
pomp,はなやかさ
pomp,見せびらかし
pomp,虚飾
pompadour,ポンパドゥール
pompano,コバンアジ
Pompeii,ポンペイ
pompom,ポンポン
pomposity,もったいぶり
pomposity,尊大さ
pomposity,ものものしさ
pomposity,もったいぶった言動
pompous,もったいぶった
pompous,尊大な
pompous,大げさな
pompous,ぎょうぎょうしい
poncho,ポンチョ
poncho,ポンチョ風レインコート
pond,池
ponderous,大きくて重い
ponderous,どっしりした
ponderous,重くて扱いにくい
ponderous,のっそりとした
ponderous,重苦しい
pongee,絹紬
poniard,短剣
poniard,懐剣
pontiff,教皇
pontiff,法王
pontiff,祭司長
pontiff,司教
pontifical,教皇の
pontifical,法王の
pontifical,祭司長の
pontifical,司教の
pontifical,横柄な
pontifical,独断的な
pontifical,司教の祭服
pontificate,教皇の任を勤める
pontificate,もったいぶった話し方をする
pontificate,司教の職位
pontoon,鉄船
pontoon,浮き箱
pontoon,フロート
pontoon,平底船
pony,小型の品種の馬
pony,小さい馬
pony,虎の巻
pooch,犬
poodle,プードル犬
pooh,ちぇっ
pooh,ふうん
pooh,ぷうー
pool,水たまり
pool,たまり
pool,水泳プール
poolroom,玉突き場
poolroom,公開賭博場
poop,船尾楼
poop,情報
poop,内幕
pooped,疲れ果てた
pooped,へたばった
poor,貧乏な
poor,貧しい
poor,貧相な
poor,みすぼらしい
poor,劣る
poor,落ちる
poor,哀れな
poor,不運な
poor,かわいそうな
poor,故人となった
poor,なくなった
poor,《謙そん
poor,またはおどけて》つまらない
poor,取るに足らない
poor,貧しい人々
poor,かわいそうな人々
poor-spirited,おく病な
poor-spirited,勇気のない
poorhouse,救貧院
poorly,貧しく
poorly,乏しく
poorly,不十分に
poorly,へたに
poorly,まずく
poorly,健康がすぐれない
poorly,病身な
poormouth,貧乏を言い訳にする
poormouth,貧しいとこぼす
pop,大衆向きの
pop,とうちゃん
pop,おやじさん
pop,おじさん
pop,ポピュラー音楽
popcorn,ポップコーン
pope,ローマ教皇
Pope,ポープ
popery,ローマカトリック教[の教義
popery,儀式]
popgun,空気鉄砲
popinjay,しゃれ者
popinjay,気取り屋
popish,ローマカトリック教的な
popish,ローマカトリック教に特有の
poplar,ポプラ
poplar,ポプラ材
poplin,ポプリン
popover,軽焼きマフィン
poppa,おとうちゃん
poppa,パパ
poppet,子供
poppet,かわいい子ちゃん
poppy,ケシ
poppy,ケシの花
poppy,ケシ色
poppycock,ばかげたこと
poppycock,たわごと
popsy,ガールフレンド
popsy,女
populace,民衆
populace,大衆
populace,全住民
popular,人気がある
popular,評判のよい
popular,好かれている
popular,一般人の
popular,民衆の
popular,大衆の
popular,人民の
popular,大衆向きの
popular,俗受けする
popular,一般的な
popular,民間に広まった
popular,大衆の手の突く
popular,安い
popularity,人気
popularity,好評
popularity,流行
popularization,大衆化
popularization,普及
popularisation,大衆化
popularisation,普及
popularly,一般に
popularly,大衆に分かるように
popularly,通俗的に
popularly,大衆の手の届くように
popularly,安く
population,人口
population,住民の数
population,全体民
population,人々
population,連中
population,動植物の個体数
populism,人民党の主義
Populist,人民党員
Populist,人民党の
populous,人口の多い
populous,人口密度の高い
popup,ポップフライ
porcelain,磁器
porcelain,磁器製品
porcine,豚の
porcine,豚に似た
porcupine,ヤマアラシ
pore,熟読する
pore,注意深く考える
pore,没頭する
pore,熟考［熟視，熟読］する
pore,気孔
pore,毛穴
porgy,タイ
porgy,タイの類
pork,豚肉
porker,子豚
porker,豚
porkpie,豚肉パイ
porky,丸々とふとった
porky,豚のような
pornographic,好色文学の
pornographic,ポルノの
pornographic,春画の
pornography,好色文学
pornography,春画
pornography,エロ写真
pornography,ポルノ映画
porosity,有孔性
porosity,通気性
porosity,多孔率
porous,多孔性の
porous,穴の多い
porous,透過性の
porphyritic,斑岩の
porphyritic,斑岩のような
porphyry,斑岩
porpoise,ネズミイルカ
porridge,ポリッジ
porringer,深皿
port,港
port,港町
port,港市
port,左舷
port,左側
port,左舷の
port,左側の
port,左舷に向ける
port,ポートワイン
port,控え銃の姿勢
port,控え銃にする
Port.,Portugal
Port.,Portuguese
Port-of-Spain,ポートオブスペイン
portability,持ち運びのできること
portability,軽便さ
portable,持ち運びのできる
portable,携帯用の
portable,携帯用器具
portable,ポータブル
portage,陸上輸送
portage,連水陸路運搬
portage,連水陸路
portage,その運賃
portage,連水陸送する
portal,門
portal,入り口
portal,正門
portal,表玄関
portal-to-portal,拘束時間払いの
portcullis,落とし門
porte-cochere,ひさし付き玄関
porte-cochère,ひさし付き玄関
portend,前兆となる
portent,きざし
portent,前兆
portent,意味
portentous,前兆の
portentous,不吉な
portentous,縁起の悪い
portentous,顕著な
portentous,異常な
portentous,おそれうやまわせる
portentous,もったいぶった
portentous,気どった
porter,運搬人
porter,赤帽
porter,ボーイ
porter,ボーイ
porter,玄関番
porter,黒ビール
porterage,運搬人の仕事
porterage,運搬料
porterage,運び賃
porterhouse,腰上部とあばらの間の肉で作った最上のビーフステーキ
portfolio,折りかばん
portfolio,書類かばん
portfolio,大臣の職務
portfolio,有価証券の明細表
portfolio,ポートフォリオ
porthole,舷窓
porthole,丸窓
portico,柱廊玄関
porticoed,柱廊玄関のある
Portland,ポートランド米国Oregon州北西部の都市
Portland,米国Maine州南西部の都市
portliness,肥満
portliness,かっぷくのよいこと
portly,でっぷり太った
portly,かっぷくのよい
portmanteau,旅行かばん
portrait,肖像画
portrait,肖像写真
portrait,言葉による描写
portraitist,肖像画家
portraitist,人物写真家
portraiture,肖像画法
portraiture,肖像画
portray,〈人物
portray,風景〉演じる
portrayal,描写
portrayal,描写した絵
Portsmouth,ポーツマス
Portsmouth,英国南海岸にある軍港
Portsmouth,米国New Hampshire州の海港
Portsmouth,1905年に日露講和条約が締結された地
Portugal,ポルトガル
Portuguese,ポルトガルの
Portuguese,ポルトガル人の
Portuguese,ポルトガル人
Portuguese,ポルトガル語
portulaca,スベリヒユ
pos.,position
pos.,positive
pose,姿勢をとる
pose,気どる
pose,ふりをする
pose,述べる
pose,提出する
pose,ポーズ
pose,姿勢
pose,ポーズ
pose,見せかけ
pose,気どり
poseur,気どり屋
poseur,すまし屋
posh,すばらしい
posh,りっぱな
posh,高級な
posh,豪華な
posit,仮定する
posit,断定する
positive,肯定した
positive,同意の
positive,実際的な
positive,積極的な
positive,建設的な
positive,確信のある
positive,自信のある
positive,疑問の余地がない
positive,明確な
positive,はっきりした
positive,全くの
positive,文字どおりの
positive,陽性の
positive,正の
positive,プラスの
positive,陽の
positive,陽画の
positive,原級の
positive,明確なもの
positive,原級
positive,陽画
positive,ポジ
positive,正数
positively,断固として
positively,積極的に
positively,全く
positively,本当に
positively,そのとおり
positively,もちろん
positiveness,明白さ
positiveness,確実性
positiveness,確信
positivism,実証主義
positivism,積極性
positivism,明確性
positron,陽電子
positron,ポジトロン
poss.,possible
possessed,とりつかれた
possessed,常軌を逸した
possessed,持っている
possession,所有
possession,所持
possession,所有物
possession,財産
possession,領地
possession,領土
possession,とりつかれること
possessive,所有の
possessive,所有欲の強い
possessive,独占する
possessive,所有格の
possessive,所有格
possessive,所有格形の語
possessor,所有者
possessor,持ち主
posset,ミルク酒
possibility,可能性
possibility,実現性
possibility,可能なこと
possibility,ありうること
possibility,起こりそうなこと
possibility,実現可能な事柄
possibility,見込みのある人
possibility,まずまずの人
possibility,将来性
possibility,見込み
possible,可能な
possible,実行できる
possible,ありうる
possible,起こりうる
possible,我慢できる
possible,まずまずの
possible,《形容詞の最上級
possible,all
possible,everyなどを強調して》可能な限りの
possible,可能性
possible,可能性のある人
possible,当選の見込みのある人
possibly,ひょっとしたら
possibly,ことによると
possibly,なんとかして
possibly,できる限り
possibly,なんとか
possibly,どうにかして
possibly,どうしても
possibly,とても
post,柱
post,支柱
post,くい
post,出発標
post,決勝標
post,ゴールポスト
post,掲示する
post,部署
post,持ち場
post,駐屯地
post,駐留地
post,兵営地
post,地位
post,職
post,交易所
post,〈兵士
post,警官
post,看護婦など〉任命する
post,郵便
post,集配
post,配達
post,便
post,郵便物
post,郵便局
post,ポスト
post,郵便箱
post,駅
post,宿
post,宿場
post,郵便で送る
post-office,郵便局の
postage,郵便料金
postage,郵送料
postal,郵便の
postbox,郵便ポスト
postdate,〈手紙
postdate,事件など〉日付けを実際よりも遅らせる
poster,ポスター
poster,びら
posterior,後ろの
posterior,後部の
posterior,後の
posterior,後の
posterior,しり
posterity,子孫
posterity,後代の人々
posterity,後世
postern,裏口
postern,裏門
postern,通用門
postgraduate,大学卒業後の
postgraduate,研究科の
postgraduate,大学院の
postgraduate,研究生
postgraduate,大学院生
posthaste,大急ぎで
posthumous,父の死後に生まれた
posthumous,著者の死後に出版された
posthumous,死後の
postilion,騎乗御者
postillion,騎乗御者
posting,任命すること
postlude,後奏曲
postlude,最終楽章
postman,郵便集配人
postmark,消印
postmark,》
postmaster,郵便局長
postmistress,女郵便局長
postmortem,死後の
postmortem,検死の
postmortem,事後の
postmortem,死体解剖
postmortem,検死
postmortem,事後の検討
postnatal,出産後の
postoperative,外科手術後の
postpaid,郵便料金前払いの
postpaid,郵便料金前払いで
postpartum,出産後の
postpartum,分娩後の
postponement,延期
postponement,あと回し
postprandial,食後の
postprandial,正餐後の
postscript,追って書き
postscript,追伸
postscript,補遺
postscript,後書き
postscript,後記
postulant,聖職志願者
posture,姿勢
posture,姿勢
posture,ポーズ
posture,態度
posture,身のこなし
posture,気構え
posture,心組み
posture,ポーズをとる
posture,気どる
posture,ふるまう
postwar,戦後の
posy,花
posy,花束
pot-roast,とろ火でなべ焼きにする
potable,飲用に適した
potage,ポタージュ
potash,あく
potash,カリ
potash,カリウム化合物
potassium,ポタシウム
potassium,カリウム
potation,酒を飲むこと
potation,酒盛り
potation,酒
potato,ジャガイモ
potato,ジャガイモをつける植物
potato,サツマイモ
potbellied,たいこ腹の
potbelly,たいこ腹
potbelly,たいこ腹の人
potboiler,金目当ての文学作品
potboiler,その作家
potbound,根が張りすぎて成長できない
potency,力
potency,能力
potency,権勢
potency,影響力
potency,効能
potent,有力な
potent,強力な
potent,効きめのある
potent,説得力のある
potent,力強い
potent,性交可能な
potentate,支配者
potentate,君主
potentate,実力者
potentate,有力者
potential,可能性のある
potential,潜在的な
potential,可能性
potential,潜在力
potential,電位
potentiality,潜在状態
potentiality,可能性
potentiality,発展の見込み
potentiality,将来性
potentially,可能性を秘めて
potentially,潜在的に
potful,つぼ1杯の分量
pothead,マリファナ常用者
potherb,煮て食べる野菜
potholder,なべつかみ
potholing,洞窟探検
pothook,S字形のかぎ
pothook,自在かぎ
pothouse,居酒屋
pothunter,賞金目当ての競技参加者
pothunter,乱猟家
pothunter,不心得な考古発掘者
potion,一服
potluck,ありあわせの食べ物
potluck,ポットラックパーティー
potluck,あり合わせの料理
potluck,食べ物を持ち寄って行う
potluck,みんながごちそうを持ち寄る食事［料理］
potluck,持ち寄りの
Potomac,ポトマック川
potpie,肉入りパイ
potpie,肉だんご入りシチュー
potpourri,香つぼ
potpourri,寄せ集め
potpourri,雑集
potpourri,混成曲
potsherd,陶器片
potshot,めくら撃ち
pottage,濃いスープ
pottage,ポタージュ
potted,鉢植えの
potted,びんづめの
potted,簡約版の
potter,陶工
potter,陶芸家
potteries,ポッタリーズ
pottery,製陶術
pottery,陶器製造
pottery,陶器類
pottery,陶器製造所
potty,ばかな
potty,多少狂っている
potty,道理に合わない
potty,価値のない
potty,取るに足りない
potty,熱狂的な
potty,のぼせている
potty,幼児用便器
potty,おまる
potty-trained,おまるを使えるようになった
pouch,小袋
pouch,郵便袋
pouch,弾薬袋
pouch,腹袋
pouch,ほお袋
pouch,たるみ
pouf,腰掛け用クッション
pouf,ホモ
pouf,同性愛者
pouffe,腰掛け用クッション
pouffe,ホモ
pouffe,同性愛者
poult,ひな
poulterer,鳥屋
poulterer,鳥肉屋
poulterer,家禽商
poultice,パップ剤
poultice,湿布剤
poultry,家禽
poultry,飼い鳥
poultry,家禽の肉
pounce,飛びかかる
pounce,急に襲いかかる
pounce,襲いかかること
pounce,急襲
pound,囲い檻
pound,収容所
pound-foolish,大金の使い方を知らない
pounding,強打
pounding,連打
pounding,ドンドンという音
pounding,ひどい敗北
pour,注ぐ《+out+名
pour,+名+out》
pour,〈水
pour,煙などが〉流れる
pour,〈人
pour,物が〉流れ出る
pour,激しく降る
pour,お茶をつぐ
pour,接待役をする
pour,どしゃ降り
pout,口をとがらせる
pout,ふくれっつらをする
pout,とがらせる
pout,口をとがらせること
pouter,ハネタカバト
poverty,貧乏
poverty,貧困
poverty,不足
poverty,欠乏
poverty-stricken,極貧の
POW,prisoner of war
POW,戦争捕虜
P.O.W.,prisoner of war
P.O.W.,戦争捕虜
powdered,粉に覆われた
powdered,粉末状の
powdery,粉の
powdery,粉状の
powdery,粉だらけの
powdery,粉になりやすい
powdery,もろい
power,能力
power,力
power,権力
power,支配権
power,権限
power,体力
power,知力
power,才能
power,権力者
power,実力者
power,影響力のある集団
power,強国
power,大国軍事力
power,国力
power,強さ
power,力
power,神
power,悪魔
power,動力
power,工率
power,仕事率
power,エネルギー
power,力
power,累乗
power,倍率
power,多数
power,多量
power,動力を供給する
power-dive,動力急降下させる
power-dive,動力急降下する
powerbroker,黒幕
powerful,強力な
powerful,強い
powerful,効果的な
powerful,ききめの強い
powerful,勢力のある
powerful,有力な
powerfully,力強く
powerfully,強力に
powerfully,強烈に
powerless,力の無い
powerless,無能な
powwow,北米インディアンの儀式
powwow,北米インディアンの会議
powwow,会議
powwow,集会
powwow,儀式を行う
powwow,会合する
pp.,pages
pp.,pianissimo
ppd.,postpaid
ppd.,prepaid
ppm,parts per million
ppr.,present participle現在分詞
pptn.,precipitation
Pr,Provencal
Pr,praseodymiumの化学記号
PR,public relations
pr.,pair
pr.,present
pr.,price
pr.,pronoun
practicability,実行できること
practicability,実用性
practicable,実行できる
practicable,使用できる
practicably,実行可能に
practicably,実用的に
practical,実際上の
practical,実地の
practical,実用的な
practical,実際の役に立つ
practical,良識のある
practical,経験豊かな
practical,実際的な
practical,現実的な
practical,実際の経験から学んだ
practical,実質上の
practical,事実上の
practicality,実際的であること
practicality,実用性
practicality,実際的なこと
practicality,実際問題
practically,実質的には
practically,事実上
practically,ほとんど
practically,実際的に
practically,実用的に
practically,実際的な方法で
practiced,経験が深い
practiced,熟練した
practiced,練習を積んだ
practiced,わざとらしい
practised,経験が深い
practised,熟練した
practised,練習を積んだ
practised,わざとらしい
practitioner,開業医
practitioner,弁護士
practitioner,技術者
practitioner,工芸家
praetor,法務官
pretor,法務官
pragmatic,実際的な実用的な
pragmatic,実用主義の
pragmatically,実用的に
pragmatically,実用主義的に
pragmatism,実用主義
pragmatism,プラグマティズム
pragmatism,実益主義
pragmatism,実用本位
pragmatist,実務家はだの人
pragmatist,実用主義者
Prague,プラハ
prairie,大草原
praiseworthily,賞賛に値して
praiseworthily,殊勝にも
praiseworthiness,賞賛に値すること
praiseworthiness,りっぱなこと
praiseworthy,賞賛に値する
praiseworthy,感心な
praline,プラリータ
prance,前脚を上げ後脚でけって跳び進む
prance,意気揚々と歩く
prance,飛び跳ね
prance,意気揚々とした歩きぶり
prank,悪ふざけ
prank,戯れ
prankster,いたずらをする人
praseodymium,プラセオジム
prat,まぬけ
prat,ばか
prate,ぺちゃくちゃしゃべる
prate,くどくどと話をする
pratfall,しりもち
pratfall,へま
pratfall,失態
pratique,検疫済み入港許可証
prattle,うわさ話をする
prattle,おしゃべり
prattle,むだ口
prawn,テナガエビ
prawn,クルマエビ
prawn,エビを捕まえる
praxis,習慣
praxis,慣列
praxis,実習
praxis,練習
pray,祈る
pray,懇願する
pray,請う
pray,どうか
pray,ねえ
pray,もし
prayer,祈ること
prayer,願いごと
prayer,祈り
prayer,嘆願
prayer,祈りの言葉
prayer,祈祷文
prayer,礼拝
prayer,祈祷
prayer,おつとめ
prayer,成功の機会
prayer,祈る人
prayerful,よく祈る
prayerful,信心深い
prayerful,祈りのこもった
preacher,伝道師
preacher,牧師
preachify,たいくつな説教をする
preamble,序文
preamble,前文
preamble,前置き
preamble,前口上
preamplifier,プリアンプ
prearrangement,前もっての打ち合わせ
prebendary,聖職給受給有資格者
prec.,preceded
prec.,preceding
precancerous,前癌症状の
precarious,危険な
precarious,心もともない
precarious,不確かな
precarious,あやふやな
precarious,いいかげんな
precast,建築用ブロックに作られた　前もって成形された　あらかじめ成形する
precaution,事前の策
precaution,予防策
precaution,用心
precaution,警戒
precautionary,用心のための
precedence,先に来ること
precedence,上であること
precedence,上席
precedent,先例
precedent,前例
precedent,先例にならうこと
preceding,先の
preceding,前の
precentor,先唱者
precept,教訓
precept,道徳的な教え
precept,指針
precept,格言
preceptor,教授者
preceptor,教師
precession,春分点歳差
precessional,歳差の
precinct,構内
precinct,境内
precinct,周辺地域
precinct,近郊
precinct,特定区域
precinct,区域
precinct,境界線
precinct,囲い
preciosity,凝り過ぎ
preciosity,気取り過ぎ
preciosity,凝り過ぎた表現
precious,高価な
precious,貴重な
precious,大切な
precious,かけがえのない
precious,無駄にできない
precious,愛する
precious,いとしい
precious,《強調
precious,皮肉に》とびきりの
precious,大した
precious,いやに気取った
precious,凝り過ぎの
precious,とても
precious,非常に
precious,かわいい人
precipice,断崖
precipice,絶壁
precipice,危機
precipice,窮地
precipitant,まっさかさまに落ちる
precipitant,大急ぎの
precipitant,まっしぐらの
precipitation,突然の大あわて
precipitation,沈殿物
precipitation,沈殿
precipitation,降雨
precipitation,降雪
precipitation,降雨量
precipitation,降雪量
precipitous,絶壁のような
precipitous,切り立った
precipitous,険しい
precipitous,急勾配の
precise,正確な
precise,的確な
precise,明確な
precise,まさにその
precise,当の
precise,ちょうどの
precise,厳格な
precise,きちょうめんな
precisely,正確に
precisely,明確に
precisely,はっきり
precisely,きちょうめんに
precisely,かっきりと
precisely,ちょうど
precisely,全くそのとおり
precisian,規則にやかましい人
precision,正確
precision,きちょうめん
precision,精密な
precision-made,精密に作られた
preclude,妨げる
preclusion,防止
preclusion,妨害
precocious,早熟の
precocity,早熟
precognition,予知
preconceived,頭ごなしの
preconceived,先入観にとらわれた
preconception,予想
preconception,予断
precursor,前兆
precursor,前触れ
pred.,predicate
predation,捕食関係
predation,略奪
predator,捕食動物
predator,他人を食いものにしている人
predatory,肉食の
predatory,生物を捕食する
predatory,人を食いものにする
predecease,〈人
predecease,事件〉先立つ
predecessor,2前任者
predecessor,前のもの
predestination,運命
predestination,宿命
predestination,【神学】予定説
predestination,宿命論
predetermination,宿命
predetermination,運命づけられていること
predeterminer,冠詞の前に用いられる語
predicable,断言できる
predicament,苦境
predicament,窮地
predicate,述部
predicate,述語
predicate,述部の
predicate,述語の
predicate,〈行動
predicate,主張〉断言する
predicative,叙述的な
predicative,述語
